院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
台州学院,0.0,0.0,0.0,0.38,0.18,0.531,0.6012,0.0,0.6118,0.6246,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.1,0.12139648601336851,0.2865975504695353
浙江万里学院,0.0,0.0,0.0,0.38,0.18,0.547,0.6002000000000001,0.0,0.6115999999999999,0.6248,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12157336191907199,0.2982467705014634
丽水学院,0.0,0.0,0.0,0.38,0.18,0.561,0.6006,0.0,0.6114999999999999,0.6245,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.06,0.1199098265067276,0.28465792894269076
浙江外国语学院,0.0,0.0,0.0,0.38,0.18,0.561,0.6007,0.0,0.6114999999999999,0.6245,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.12,0.12004448099225212,0.3022572505741813
浙江水利水电学院,0.0,0.0,0.0,0.38,0.18,0.617,0.6,0.0,0.6113000000000001,0.6245,0.6,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12037981268997161,0.3032051005458908
衢州学院,0.0,0.0,0.0,0.38,0.18,0.695,0.6002000000000001,0.0,0.6001,0.6,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11887552374118866,0.2898828983165233
中国美术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.11,0.11643255452484208,0.39997977655216665
公安海警学院,0.0,0.0,0.0,0.1,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.07,0.11223650157583852,0.30064400686806086
宁波职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.1218277898868845,0.2989699074100246
温州职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12070602001217344,0.2792881320618133
浙江警察学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.07,0.12015724142020597,0.30177222987456714
浙江传媒学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.12,0.12034649534708149,0.3032640821199893
浙江树人学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.10774900911178792,0.2998792344133977
浙江交通职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12009556978253778,0.30349758995252596
金华职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.11964255600402646,0.29067929012173976
宁波城市职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.11635802472176521,0.4003803028116271
浙江工商职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.12151231101053138,0.29869907702653964
台州职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12140576371267249,0.2865935734857627
浙江工贸职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12070553447804544,0.2800860769558208
