院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
北华航天工业学院,,,,河北省教育厅,河北,441.0,60.01,0,61.37,62.97,60.0,,,,,本科,工科,116.73916622761043,39.533916554787815
华北科技学院,,,,国家安全生产监督管理局,河北,456.0,60.05,0,61.36,62.92,60.0,,,,,本科,工科,116.81046347830967,39.962737037449905
承德医学院,,,,河北省教育厅,河北,472.0,60.01,0,61.35,62.92,60.0,,,,,本科,医药,117.96358179026467,41.03913360645933
唐山师范学院,,,,河北省教育厅,河北,495.0,60.01,0,61.33,62.88,60.0,,,,,本科,师范,118.17898197697473,39.68289908273662
唐山学院,,,,河北省教育厅,河北,495.0,60.0,0,,62.88,60.0,,,,,本科,工科,118.19854042352128,39.64523758695947
廊坊师范学院,,,,河北省教育厅,河北,495.0,60.02,0,61.33,62.89,60.0,,,,,本科,师范,116.67918241616496,39.53287297078341
河北建筑工程学院,,,,河北省教育厅,河北,495.0,60.0,0,61.33,62.89,60.0,,,,,本科,工科,117.20359278135501,39.15348514470478
河北科技师范学院,,,,河北省教育厅,河北,547.0,60.06,0,61.16,62.48,60.0,,,,,本科,师范,117.20359278135501,39.15348514470478
石家庄学院,,,,河北省教育厅,河北,588.0,60.01,0,61.14,62.46,60.0,,,,,本科,师范,114.52153190157445,38.0483119268727
防灾科技学院,,,,中国地震局,河北,588.0,60.03,0,61.14,62.46,60.0,,,,,本科,工科,116.80855404011767,39.96910274794419
邯郸学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.46,60.0,,,,,本科,师范,114.51571959543324,36.58159291978109
邢台学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.46,60.0,,,,,本科,师范,114.51113958479061,37.0953445370125
河北金融学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.46,60.0,,,,,本科,财经,115.50571326237306,38.92512029443412
衡水学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.45,60.0,,,,,本科,师范,115.6680920443233,37.74862798054048
沧州师范学院,,,,河北省教育厅,河北,617.0,60.01,0,61.13,62.45,60.0,,,,,本科,师范,116.79024325009392,38.291282518991935
保定学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.45,60.0,,,,,本科,师范,115.58378328746478,38.8864107836853
河北民族师范学院,,,,河北省教育厅,河北,617.0,60.0,0,61.13,62.45,60.0,,,,,本科,师范,117.20359278135501,39.15348514470478
河北中医学院,,,,河北省教育厅,河北,682.0,60.0,0,60.04,60.09,60.0,,,,,本科,医药,117.20359278135501,39.15348514470478
张家口学院,,,,河北省教育厅,河北,687.0,60.0,0,60.02,60.0,60.16,,,,,本科,综合,114.87511303505137,40.848999970792036
河北工程技术高等专科学校,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.20359278135501,39.15348514470478
河北工业职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
邯郸职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,综合,114.5179172998634,36.588547099809034
中国人民武装警察部队学院,,,,公安部,河北,,,0,,,,,,,,本科,政法,115.9864159441613,40.46215724045
河北体育学院,,,,河北省教育厅,河北,,,0,,,,,,,,本科,体育,114.50718201003586,38.128400024957806
石家庄职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,114.41310391126468,38.05270801720916
张家口职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,综合,114.92331098837538,40.737248987858905
承德石油高等专科学校,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.97390987820454,40.901636948451234
邢台职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,114.46726598436109,37.0903669441566
中央司法警官学院,,,,司法部,河北,,,0,,,,,,,,本科,政法,115.52124909684595,38.88701228822128
河北软件职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,综合,117.22659982275437,39.1788210693654
河北石油职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
河北建材职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
河北政法职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,政法,117.22969367676129,39.15873223811665
沧州职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,116.82990343835944,38.28790620660907
河北能源职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
石家庄铁路职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,114.53355760726707,38.09399861452092
保定职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,综合,115.47704599795534,38.86572712450211
秦皇岛职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,119.48821797130596,39.84533408156918
石家庄工程职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,114.44593607934885,38.17680590554752
石家庄城市经济职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,语言,114.76014556029007,37.76644919413229
河北传媒学院,,,,河北省教育厅,河北,,,0,,,,,,,1.0,本科,艺术,117.20359278135501,39.15348514470478
唐山职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,医药,118.09735502138571,39.59137710241319
衡水职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,财经,115.68747118909005,37.70533457889741
唐山工业职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,118.21957397754576,39.66818610102227
石家庄城市职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,财经,114.41310391126468,38.05270801720916
邢台医学高等专科学校,,,,河北省教育厅,河北,,,0,,,,,,,,专科,医药,114.46831340858571,37.09475566583606
河北省艺术职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,艺术,114.66753026221134,38.026399680269684
河北旅游职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,财经,117.22969367676129,39.15873223811665
石家庄财经职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,财经,114.28976611559196,38.119955421175014
河北交通职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
河北化工医药职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
石家庄信息工程职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,114.68825803304021,38.15632706253373
河北外国语职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,语言,117.22969367676129,39.15873223811665
河北美术学院,,,,河北省教育厅,河北,,,0,,,,,,,,本科,艺术,117.2237759095532,39.18924065243078
军械工程学院信息与管理分院,,,,河北省教育厅,河北,,,0,,,,,,,,本科,军事,114.51334097227337,38.090361022720764
河北科技学院,,,,河北省教育厅,河北,,,0,,,,,,,,本科,工科,117.20359278135501,39.15348514470478
保定电力职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,115.45584742520869,38.85790480346579
河北机电职业技术学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,117.22659982275437,39.1788210693654
渤海石油职业学院,,,,河北省教育厅,河北,,,0,,,,,,,,专科,工科,128.24096469596236,43.37527243323341
