大学名称,大学详情页链接
辽宁轨道交通职业学院,https://daxue.911cha.com/1291.html
辽宁广告职业学院,https://daxue.911cha.com/1292.html
辽宁机电职业技术学院,https://daxue.911cha.com/1293.html
辽宁经济职业技术学院,https://daxue.911cha.com/1294.html
辽宁石化职业技术学院,https://daxue.911cha.com/1295.html
渤海船舶职业学院,https://daxue.911cha.com/1325.html
大连理工大学城市学院,https://daxue.911cha.com/1476.html
沈阳工业大学工程学院,https://daxue.911cha.com/1477.html
沈阳航空航天大学北方科技学院,https://daxue.911cha.com/1478.html
沈阳工学院,https://daxue.911cha.com/1479.html
大连工业大学艺术与信息工程学院,https://daxue.911cha.com/1480.html
大连科技学院,https://daxue.911cha.com/1481.html
沈阳建筑大学城市建设学院,https://daxue.911cha.com/1482.html
中国医科大学临床医药学院,https://daxue.911cha.com/1483.html
大连医科大学中山学院,https://daxue.911cha.com/1484.html
辽宁医学院医疗学院,https://daxue.911cha.com/1485.html
辽宁师范大学海华学院,https://daxue.911cha.com/1486.html
渤海大学文理学院,https://daxue.911cha.com/1487.html
大连财经学院,https://daxue.911cha.com/1488.html
沈阳城市学院,https://daxue.911cha.com/1489.html
辽宁科技大学信息技术学院,https://daxue.911cha.com/1679.html
辽宁石油化工大学顺华能源学院,https://daxue.911cha.com/1680.html
大连艺术学院,https://daxue.911cha.com/1693.html
辽宁中医药大学杏林学院,https://daxue.911cha.com/1703.html
辽宁何氏医学院,https://daxue.911cha.com/1704.html
沈阳化工大学科亚学院,https://daxue.911cha.com/1715.html
大连东软信息学院,https://daxue.911cha.com/1723.html
海军大连舰艇学院,https://daxue.911cha.com/1940.html
吉林大学,https://daxue.911cha.com/152.html
东北师范大学,https://daxue.911cha.com/161.html
延边大学,https://daxue.911cha.com/153.html
长春理工大学,https://daxue.911cha.com/154.html
吉林农业大学,https://daxue.911cha.com/159.html
东北电力大学,https://daxue.911cha.com/155.html
长春中医药大学,https://daxue.911cha.com/160.html
吉林师范大学,https://daxue.911cha.com/164.html
吉林化工学院,https://daxue.911cha.com/158.html
长春工业大学,https://daxue.911cha.com/156.html
吉林财经大学,https://daxue.911cha.com/168.html
